ds,y
10/6/98,984.590027
10/5/98,988.559998
10/2/98,1002.599976
10/1/98,986.390015
9/30/98,1017.01001
9/29/98,1049.02002
9/28/98,1048.689941
9/25/98,1044.75
9/24/98,1042.719971
9/23/98,1066.089966
9/22/98,1029.630005
9/21/98,1023.890015
9/18/98,1020.090027
9/17/98,1018.869995
9/16/98,1045.47998
9/15/98,1037.680054
9/14/98,1029.719971
9/11/98,1009.059998
9/10/98,980.190002
9/9/98,1006.200012
9/8/98,1023.460022
9/4/98,973.890015
9/3/98,982.26001
9/2/98,990.47998
9/1/98,994.26001
8/31/98,957.280029
8/28/98,1027.140015
8/27/98,1042.589966
8/26/98,1084.189941
8/25/98,1092.849976
8/24/98,1088.140015
8/21/98,1081.23999
8/20/98,1091.599976
8/19/98,1098.060059
8/18/98,1101.199951
8/17/98,1083.670044
8/14/98,1062.75
8/13/98,1074.910034
8/12/98,1084.219971
8/11/98,1068.97998
8/10/98,1083.140015
8/7/98,1089.449951
8/6/98,1089.630005
8/5/98,1081.430054
8/4/98,1072.119995
8/3/98,1112.439941
7/31/98,1120.670044
7/30/98,1142.949951
7/29/98,1125.209961
7/28/98,1130.23999
7/27/98,1147.27002
7/24/98,1140.800049
7/23/98,1139.75
7/22/98,1164.079956
7/21/98,1165.069946
7/20/98,1184.099976
7/17/98,1186.75
7/16/98,1183.98999
7/15/98,1174.810059
7/14/98,1177.579956
7/13/98,1165.189941
7/10/98,1164.329956
7/9/98,1158.560059
7/8/98,1166.380005
7/7/98,1154.660034
7/6/98,1157.329956
7/2/98,1146.420044
7/1/98,1148.560059
6/30/98,1133.839966
6/29/98,1138.48999
6/26/98,1133.199951
6/25/98,1129.280029
6/24/98,1132.880005
6/23/98,1119.48999
6/22/98,1103.209961
6/19/98,1100.650024
6/18/98,1106.369995
6/17/98,1107.109985
6/16/98,1087.589966
6/15/98,1077.01001
6/12/98,1098.839966
6/11/98,1094.579956
6/10/98,1112.280029
6/9/98,1118.410034
6/8/98,1115.719971
6/5/98,1113.859985
6/4/98,1094.829956
6/3/98,1082.72998
6/2/98,1093.219971
6/1/98,1090.97998
5/29/98,1090.819946
5/28/98,1097.599976
5/27/98,1092.22998
5/26/98,1094.02002
5/22/98,1110.469971
5/21/98,1114.640015
5/20/98,1119.060059
5/19/98,1109.52002
5/18/98,1105.819946
5/15/98,1108.72998
5/14/98,1117.369995
5/13/98,1118.859985
5/12/98,1115.790039
5/11/98,1106.640015
5/8/98,1108.140015
5/7/98,1095.140015
5/6/98,1104.920044
5/5/98,1115.5
5/4/98,1122.069946
